word,2009_freq,2010_freq,2011_freq,2012_freq,2013_freq,2014_freq,2015_freq,2016_freq,2017_freq,2018_freq
server,7.0,12.0,9.0,4.0,6.0,6.0,12.0,11.0,3.0,6.0
medical,7.0,19.0,6.0,10.0,16.0,9.0,11.0,14.0,17.0,41.0
translation,7.0,5.0,11.0,7.0,10.0,15.0,28.0,45.0,62.0,125.0
prove,7.0,4.0,7.0,9.0,4.0,5.0,10.0,8.0,6.0,12.0
duality,7.0,7.0,5.0,5.0,7.0,10.0,4.0,5.0,2.0,3.0
help,7.0,6.0,3.0,2.0,6.0,3.0,7.0,3.0,7.0,21.0
sensitivity,7.0,4.0,2.0,14.0,12.0,4.0,10.0,6.0,6.0,9.0
restrict,7.0,10.0,12.0,11.0,5.0,14.0,14.0,9.0,9.0,12.0
world,7.0,17.0,21.0,8.0,14.0,13.0,14.0,19.0,12.0,27.0
multiplex,7.0,9.0,10.0,8.0,1.0,3.0,10.0,8.0,8.0,11.0
work,7.0,6.0,11.0,9.0,8.0,12.0,5.0,10.0,8.0,12.0
localization,7.0,20.0,15.0,18.0,28.0,19.0,32.0,41.0,47.0,79.0
miso,7.0,6.0,11.0,11.0,13.0,6.0,10.0,11.0,4.0,6.0
unique,7.0,12.0,12.0,12.0,15.0,3.0,8.0,6.0,2.0,6.0
travel,7.0,5.0,12.0,10.0,6.0,9.0,7.0,4.0,3.0,4.0
dichotomy,7.0,11.0,3.0,2.0,2.0,2.0,2.0,6.0,4.0,4.0
preservation,7.0,2.0,1.0,6.0,3.0,1.0,2.0,2.0,3.0,7.0
configuration,7.0,16.0,8.0,8.0,9.0,7.0,5.0,7.0,4.0,14.0
reference,7.0,3.0,9.0,4.0,9.0,8.0,4.0,11.0,9.0,16.0
among,7.0,12.0,5.0,9.0,4.0,8.0,10.0,10.0,9.0,20.0
achieve,7.0,23.0,9.0,15.0,10.0,10.0,17.0,10.0,16.0,18.0
byzantine,7.0,8.0,11.0,11.0,9.0,1.0,8.0,1.0,2.0,6.0
